Parti,Totale interaktioner,Reaktioner i alt,Kommentarer,Delinger,Antal sider,Owned Post Views,Owned Views from Shares,Owned Total Views,Views on Shared Posts,Views While Live,Video Time,Likes,Loves,Wows,Hahas,Sads,Angrys,Cares,Total Posts,Owned Video Posts,Shared Video Posts,Other Video Posts,Page Likes,Page Growth,Page Followers,Page Follower Growth,Day,Totale interaktioner per opslag,Kommentarer per opslag,Delinger per opslag,Videovisninger per videoopslag,Angry per opslag,Love per opslag,Reaktioner per opslag,Blok
Alternativet,10612,8984,801,827,164,27641,1020,28661,106,37,7,7436,1407,18,54,5,17,47,129,10,15,1,259714,284,265370,285,20221028,82,6,6,2764,0,11,70,Rød blok
Andet,742,635,51,56,115,0,0,0,43,0,0,573,55,2,1,2,2,0,26,0,4,0,196087,30,205830,50,20221028,29,2,2,0,0,2,24,Andet
Danmarksdemokraterne,13921,10644,2375,902,34,19731,2277,22008,161,6124,2,9386,965,24,99,12,66,92,85,8,4,0,305035,216,322743,199,20221028,164,28,11,2466,1,11,125,Blå blok
Dansk Folkeparti,9484,7044,1447,993,158,47349,1839,49188,593,1669,6,6035,666,13,79,18,202,31,108,8,13,1,569079,198,578743,193,20221028,88,13,9,5919,2,6,65,Blå blok
Enhedslisten,23999,19984,1833,2182,186,3250,508,3758,3319,0,4,16824,2249,30,635,42,89,115,163,10,18,4,521759,219,537207,233,20221028,147,11,13,325,1,14,123,Rød blok
Frie Grønne,1754,1363,294,97,10,0,0,0,28,0,0,1137,132,1,75,3,11,4,14,0,2,0,33499,53,36023,52,20221028,125,21,7,0,1,9,97,Rød blok
Konservative,18745,14548,2625,1572,507,78551,20599,99150,698,196,21,12648,837,41,284,351,133,254,251,43,14,2,643033,375,677055,381,20221028,75,10,6,1827,1,3,58,Blå blok
Kristendemokraterne,2246,1684,415,147,42,884,581,1465,61,40,3,1623,25,3,17,1,14,1,59,11,4,0,65414,37,68896,38,20221028,38,7,2,80,0,0,29,Blå blok
Liberal Alliance,11611,10184,849,578,218,105336,10320,115656,510,0,7,9173,470,2,460,3,59,17,144,12,32,3,408687,642,438299,651,20221028,81,6,4,8778,0,3,71,Blå blok
Løsgænger,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112461,-2,140570,-1,20221028,0,0,0,0,0,0,0,Andet
Moderaterne,1515,1054,274,187,40,5038,2319,7357,72,0,3,989,42,0,15,0,3,5,37,4,3,0,236190,284,238182,297,20221028,41,7,5,1260,0,1,28,Blå blok
Nye Borgerlige,25189,21193,2307,1689,138,69599,6249,75848,387,2365,14,19140,1543,24,316,14,94,62,111,11,5,1,634359,315,737692,292,20221028,227,21,15,6327,1,14,191,Blå blok
Radikale Venstre,5297,4446,590,261,255,14502,1377,15879,173,56,8,3923,348,10,62,0,14,89,121,14,6,2,644306,95,670015,99,20221028,44,5,2,1036,0,3,37,Rød blok
Socialdemokratiet,42550,35116,5498,1936,577,31716,9256,40972,1193,1131,26,30829,2395,46,1115,45,243,443,319,41,27,2,1624733,563,1738112,561,20221028,133,17,6,774,1,8,110,Rød blok
Socialistisk Folkeparti,24893,20822,3086,985,347,17305,1900,19205,289,146,5,16389,3738,104,131,36,192,232,154,14,9,1,705623,476,724848,505,20221028,162,20,6,1236,1,24,135,Rød blok
Venstre,20412,15496,3719,1197,617,47735,4864,52599,393,261,8,13229,334,50,978,28,858,19,257,42,14,1,951661,389,996802,449,20221028,79,14,5,1137,3,1,60,Blå blok
Alternativet,9603,8041,990,572,164,49995,5033,55028,362,171,11,6262,1254,6,426,8,40,45,147,22,18,0,260056,340,265949,334,20221029,65,7,4,2273,0,9,55,Rød blok
Andet,2815,2012,342,461,115,69386,1863,71249,21,0,96,1008,43,6,67,641,28,219,38,3,1,0,196124,37,205907,77,20221029,74,9,12,23129,1,1,53,Andet
Danmarksdemokraterne,23304,17924,4091,1289,34,2386,417,2803,21,0,6,15812,1550,16,226,17,151,152,77,8,1,0,305273,238,323702,216,20221029,303,53,17,298,2,20,233,Blå blok
Dansk Folkeparti,12431,9681,1516,1234,157,36221,5047,41268,723,1844,13,8326,901,19,190,13,172,60,87,20,3,0,564354,173,574012,151,20221029,143,17,14,1811,2,10,111,Blå blok
Enhedslisten,20130,15308,2674,2148,186,90857,7262,98119,795,219,7,12847,1328,61,701,47,244,80,158,13,22,1,521961,202,537403,196,20221029,127,17,14,6989,2,8,97,Rød blok
Frie Grønne,4741,3432,1001,308,10,26088,2694,28782,22,0,2,2634,391,2,331,4,50,20,12,4,1,0,33545,46,36404,43,20221029,395,83,26,6522,4,33,286,Rød blok
Konservative,17219,14828,1890,501,505,52220,1029,53249,256,299,21,12987,1021,30,502,16,175,97,231,37,15,0,642202,315,676266,251,20221029,75,8,2,1411,1,4,64,Blå blok
Kristendemokraterne,1392,1108,107,177,41,3014,1537,4551,202,120,2,1032,34,1,18,3,18,2,48,4,9,0,65349,29,68821,19,20221029,29,2,4,754,0,1,23,Blå blok
Liberal Alliance,27020,23306,1849,1865,216,48704,29858,78562,6191,0,13,22559,468,27,165,15,53,19,123,7,25,0,408668,681,438475,683,20221029,220,15,15,6958,0,4,189,Blå blok
Løsgænger,270,224,43,3,4,0,0,0,0,0,0,206,3,0,11,0,3,1,3,0,0,0,112461,0,140567,-3,20221029,90,14,1,0,1,1,75,Andet
Moderaterne,4376,3490,746,140,40,838,506,1344,128,0,1,3048,199,12,148,6,66,11,30,4,2,0,236396,206,238516,228,20221029,146,25,5,210,2,7,116,Blå blok
Nye Borgerlige,48128,41027,3560,3541,138,43079,8787,51866,1080,16,4,38788,1477,16,342,11,110,283,127,17,15,2,634634,275,737886,171,20221029,379,28,28,2534,1,12,323,Blå blok
Radikale Venstre,7271,6117,891,263,255,31848,1055,32903,3120,0,3,5165,581,13,143,39,127,49,120,13,10,1,644412,106,670115,93,20221029,61,7,2,2450,1,5,51,Rød blok
Socialdemokratiet,68097,57862,8081,2154,577,226588,11364,237952,25536,379,44,49898,4301,52,2590,42,586,393,361,45,19,2,1625295,562,1738668,524,20221029,189,22,6,5035,2,12,160,Rød blok
Socialistisk Folkeparti,37046,31738,3320,1988,346,42915,1403,44318,163,27,3,25334,4208,52,442,53,116,1533,172,13,6,0,705216,461,724382,442,20221029,215,19,12,3301,1,24,185,Rød blok
Venstre,26820,23631,2136,1053,617,30042,3978,34020,2797,102,9,20346,1066,13,398,35,177,1596,275,29,26,0,952027,366,997169,316,20221029,98,8,4,1036,1,4,86,Blå blok
Alternativet,15469,13167,1366,936,164,3341,1697,5038,93,7,0,10272,2362,10,157,61,87,218,153,13,9,3,260357,301,266262,313,20221030,101,9,6,257,1,15,86,Rød blok
Andet,489,416,33,40,115,505,108,613,47,24,1,395,11,0,9,0,0,1,25,3,7,0,196142,18,205923,16,20221030,20,1,2,168,0,0,17,Andet
Danmarksdemokraterne,6534,5121,1162,251,34,16222,678,16900,0,5403,2,4562,419,8,49,2,40,41,83,5,0,0,305507,234,323951,249,20221030,79,14,3,3244,0,5,62,Blå blok
Dansk Folkeparti,20290,16516,1997,1777,157,64486,7514,72000,186,0,9,14698,1461,21,173,10,81,72,119,20,8,0,564666,312,574375,363,20221030,171,17,15,3224,1,12,139,Blå blok
Enhedslisten,17569,14558,1989,1022,186,12209,2617,14826,1585,491,9,12253,1395,26,492,28,260,104,184,11,26,1,522259,298,537691,288,20221030,95,11,6,1110,1,8,79,Rød blok
Frie Grønne,4194,2971,910,313,10,45041,4403,49444,40,0,8,2082,117,5,674,6,74,13,21,9,2,0,33607,62,36466,62,20221030,200,43,15,5005,4,6,141,Rød blok
Konservative,24741,21126,2595,1020,505,76094,4951,81045,312,523,26,18498,1639,42,329,32,116,470,266,39,11,2,642539,337,676605,339,20221030,93,10,4,1951,0,6,79,Blå blok
Kristendemokraterne,1393,1105,150,138,41,1297,243,1540,120,0,0,1043,28,2,19,5,7,1,54,2,4,3,65388,39,68857,36,20221030,26,3,3,649,0,1,20,Blå blok
Liberal Alliance,20772,17815,2190,767,216,58483,10103,68586,2058,8928,1,16192,1020,37,473,24,42,27,127,12,13,0,409406,738,439218,743,20221030,164,17,6,4874,0,8,140,Blå blok
Løsgænger,1569,1401,151,17,4,0,0,0,0,0,0,1336,32,4,11,1,12,5,2,0,0,0,112445,-16,140544,-23,20221030,785,76,9,0,6,16,701,Andet
Moderaterne,6164,5181,808,175,40,42150,1742,43892,31,1896,6,4407,355,4,112,6,83,214,41,12,2,1,236560,164,238689,173,20221030,150,20,4,3513,2,9,126,Blå blok
Nye Borgerlige,44534,33948,4413,6173,138,227192,55123,282315,1473,75,11,31369,725,38,1575,17,185,39,153,15,18,3,635022,388,738256,370,20221030,291,29,40,15146,1,5,222,Blå blok
Radikale Venstre,8613,7216,1140,257,255,15879,1277,17156,128,538,24,6105,644,24,281,6,89,67,192,21,10,0,644502,90,670200,85,20221030,45,6,1,756,0,3,38,Rød blok
Socialdemokratiet,76967,64639,9717,2611,577,187686,12374,200060,2200,819,32,56937,4516,88,1965,59,651,423,378,50,25,1,1625760,465,1739127,459,20221030,204,26,7,3754,2,12,171,Rød blok
Socialistisk Folkeparti,35331,27990,4978,2363,346,33381,7963,41344,759,69,18,23203,3651,28,256,71,96,685,203,21,12,0,705775,559,724954,572,20221030,174,25,12,1590,0,18,138,Rød blok
Venstre,26902,22946,2850,1106,617,59383,5858,65241,1192,637,10,21325,630,39,623,50,220,59,289,33,21,1,952453,426,997602,433,20221030,93,10,4,1799,1,2,79,Blå blok
Alternativet,15580,13518,1348,714,164,6269,2301,8570,1074,0,7,10725,2443,35,120,62,33,100,156,14,11,6,260637,280,266544,282,20221031,100,9,5,448,0,16,87,Rød blok
Andet,1512,1285,90,137,115,1291,169,1460,0,0,0,1092,130,3,6,28,18,8,31,2,0,0,196161,19,205938,15,20221031,49,3,4,646,1,4,41,Andet
Danmarksdemokraterne,17634,14662,2161,811,34,4439,385,4824,0,0,3,13178,1156,7,82,7,52,180,96,8,0,1,305751,244,324202,251,20221031,184,23,8,555,1,12,153,Blå blok
Dansk Folkeparti,14491,11595,1687,1209,157,17840,3204,21044,452,58,6,9867,1484,24,134,10,37,39,135,20,16,0,564873,207,574594,219,20221031,107,12,9,892,0,11,86,Blå blok
Enhedslisten,21045,18028,1988,1029,186,20809,3584,24393,887,0,8,15144,2119,22,428,11,107,197,220,17,29,2,522703,444,538156,465,20221031,96,9,5,1224,0,10,82,Rød blok
Frie Grønne,7013,4418,2053,542,10,30454,6450,36904,113,2731,1,3340,542,7,392,5,73,59,23,8,4,0,33676,69,36537,71,20221031,305,89,24,3807,3,24,192,Rød blok
Konservative,23514,20100,2438,976,505,108378,9292,117670,1216,95,35,17683,1726,30,399,24,129,109,309,58,32,2,642926,387,677004,399,20221031,76,8,3,1869,0,6,65,Blå blok
Kristendemokraterne,1829,1427,134,268,41,8187,3637,11824,1592,402,5,1289,110,3,7,2,3,13,75,8,19,2,65453,65,68918,61,20221031,24,2,4,1023,0,1,19,Blå blok
Liberal Alliance,22563,20573,1220,770,216,54013,8002,62015,2031,0,5,19773,547,31,158,12,32,20,108,11,8,0,410159,753,439985,767,20221031,209,11,7,4910,0,5,190,Blå blok
Løsgænger,1226,996,223,7,4,0,0,0,0,0,0,951,33,5,2,0,0,5,1,0,0,0,112438,-7,140528,-16,20221031,1226,223,7,0,0,33,996,Andet
Moderaterne,11367,8908,2131,328,40,51146,3677,54823,31,7470,4,8297,368,11,108,19,79,26,48,9,2,0,236839,279,238978,289,20221031,237,44,7,5683,2,8,186,Blå blok
Nye Borgerlige,32255,27189,2848,2218,138,82449,11166,93615,2319,1526,12,25488,1287,22,238,18,88,48,125,17,7,0,635441,419,738665,409,20221031,258,23,18,4850,1,10,218,Blå blok
Radikale Venstre,15030,12476,1995,559,255,6741,3327,10068,2366,216,13,10106,1303,12,773,11,176,95,189,19,11,1,644685,183,670384,184,20221031,80,11,3,355,1,7,66,Rød blok
Socialdemokratiet,96536,80096,13607,2833,577,329293,18964,348257,2630,9197,47,68310,8109,108,2161,100,740,568,472,57,37,6,1626350,590,1739675,548,20221031,205,29,6,5777,2,17,170,Rød blok
Socialistisk Folkeparti,33851,28746,4052,1053,346,47135,1241,48376,5789,5166,7,23400,3618,39,1244,86,140,219,190,18,7,1,706588,813,725783,829,20221031,178,21,6,2619,1,19,151,Rød blok
Venstre,31834,27627,2929,1278,617,52136,12679,64815,1596,179,42,25733,1071,23,295,38,234,233,384,48,41,7,952934,481,998090,488,20221031,83,8,3,1086,1,3,72,Blå blok
Alternativet,14161,12440,1290,431,164,4134,456,4590,23,10,6,9377,2640,2,242,65,27,87,108,11,4,2,261073,436,266999,455,20221101,131,12,4,376,0,24,115,Rød blok
Andet,2139,1966,80,93,115,778,16,794,7,0,0,1758,189,1,7,1,0,10,22,2,1,0,196172,11,205936,-2,20221101,97,4,4,389,0,9,89,Andet
Danmarksdemokraterne,26350,23760,2284,306,34,17663,1195,18858,60,1280,0,21134,2396,10,54,21,26,119,53,7,2,0,306244,493,324735,533,20221101,497,43,6,2523,0,45,448,Blå blok
Dansk Folkeparti,21383,17667,2808,908,157,9834,536,10370,599,3284,5,15956,1551,4,54,6,10,86,118,10,2,0,565030,157,574752,158,20221101,181,24,8,983,0,13,150,Blå blok
Enhedslisten,19885,18219,1318,348,186,4755,312,5067,497,0,3,14887,2955,13,117,41,45,161,125,7,11,1,523243,540,538715,559,20221101,159,11,3,679,0,24,146,Rød blok
Frie Grønne,3838,2771,958,109,10,35395,2150,37545,897,52,3,2236,275,2,205,0,30,23,18,8,2,0,33848,172,36706,169,20221101,213,53,6,4424,2,15,154,Rød blok
Konservative,24214,21366,2482,366,505,42875,2619,45494,208,264,4,18548,2105,2,102,1,21,587,243,33,14,0,643303,377,677376,372,20221101,100,10,2,1299,0,9,88,Blå blok
Kristendemokraterne,1196,1007,121,68,41,261,61,322,94,13,1,881,82,1,7,5,1,30,56,6,9,3,65492,39,68961,43,20221101,21,2,1,44,0,1,18,Blå blok
Liberal Alliance,33818,31482,1888,448,216,86890,5783,92673,743,0,0,28988,1779,9,580,10,70,46,141,6,8,2,411536,1377,441364,1379,20221101,240,13,3,14482,0,13,223,Blå blok
Løsgænger,2184,2039,138,7,4,0,0,0,0,0,0,1931,75,6,7,2,10,8,2,0,0,0,112429,-9,140509,-19,20221101,1092,69,4,0,5,38,1020,Andet
Moderaterne,5618,4721,770,127,40,1733,1015,2748,2,26,1,4414,220,4,22,1,20,40,34,5,1,0,237205,366,239365,387,20221101,165,23,4,347,1,6,139,Blå blok
Nye Borgerlige,28448,24153,3256,1039,138,27745,1261,29006,73,3070,11,22274,1472,6,315,15,18,53,100,12,3,1,635978,537,739180,515,20221101,284,33,10,2312,0,15,242,Blå blok
Radikale Venstre,7951,7026,802,123,255,6816,375,7191,522,333,3,5942,856,7,114,2,20,85,113,9,8,0,644958,273,670644,260,20221101,70,7,1,757,0,8,62,Rød blok
Socialdemokratiet,90051,79423,9245,1383,577,16397,2541,18938,752,284,26,69221,8547,55,477,22,244,857,349,37,21,0,1627156,806,1740459,784,20221101,258,26,4,443,1,24,228,Rød blok
Socialistisk Folkeparti,47406,42296,4305,805,346,12513,370,12883,104,1042,1,35287,6318,14,181,8,59,429,174,21,2,0,707538,950,726738,955,20221101,272,25,5,596,0,36,243,Rød blok
Venstre,32204,28928,2839,437,617,25300,1280,26580,1445,747,6,26411,1874,8,302,10,43,280,264,26,26,1,953624,690,998796,706,20221101,122,11,2,973,0,7,110,Blå blok
