Parti,Totale interaktioner,Reaktioner i alt,Kommentarer,Delinger,Antal sider,Owned Post Views,Owned Views from Shares,Owned Total Views,Views on Shared Posts,Views While Live,Video Time,Likes,Loves,Wows,Hahas,Sads,Angrys,Cares,Total Posts,Owned Video Posts,Shared Video Posts,Other Video Posts,Page Likes,Page Growth,Page Followers,Page Follower Growth,Day,Totale interaktioner per opslag,Kommentarer per opslag,Delinger per opslag,Videovisninger per videoopslag,Angry per opslag,Love per opslag,Reaktioner per opslag,Blok
Moderaterne,688,596,50,42,40,1123,7,1130,104,24,1,559,33,1,1,0,0,2,26,4,4,0,231577,157,233561,183,20221007,26,2,2,281,0,1,23,Blå blok
Nye Borgerlige,34805,29624,3276,1905,138,134643,21199,155842,67,3193,13,28118,1027,22,250,16,75,116,75,8,3,0,627746,362,731956,373,20221007,464,44,25,16830,1,14,395,Blå blok
Radikale Venstre,6347,5165,924,258,255,5375,456,5831,64,0,6,4549,411,18,104,12,39,32,90,4,7,2,642148,75,668117,80,20221007,71,10,3,1344,0,5,57,Rød blok
Socialdemokratiet,80132,67307,10833,1992,577,136667,26667,163334,5543,0,10,57177,4863,109,3566,83,787,722,209,16,17,0,1615455,529,1729633,512,20221007,383,52,10,8542,4,23,322,Rød blok
Socialistisk Folkeparti,33047,27119,4644,1284,346,59586,3291,62877,122,119,4,22306,2341,356,724,229,974,189,130,8,8,0,692891,317,712340,358,20221007,254,36,10,7448,7,18,209,Rød blok
Venstre,20767,15511,3983,1273,617,37092,2375,39467,192,93,4,13807,270,45,1005,46,288,50,201,12,4,2,942309,452,987689,425,20221007,103,20,6,3091,1,1,77,Blå blok
Alternativet,5360,4505,689,166,164,1298,116,1414,67,0,0,3704,683,2,57,16,10,33,59,6,3,0,255977,97,261875,91,20221008,91,12,3,216,0,12,76,Rød blok
Andet,1758,1304,265,189,115,58996,3113,62109,61,1886,5,1005,119,8,75,15,74,8,28,4,3,0,195598,10,205391,-9,20221008,63,9,7,14749,3,4,47,Andet
Danmarksdemokraterne,23649,20556,2585,508,34,39594,5349,44943,824,0,3,18742,1459,15,173,12,107,48,50,6,6,0,299705,270,317995,271,20221008,473,52,10,6599,2,29,411,Blå blok
Dansk Folkeparti,20467,17492,2057,918,157,1846,1940,3786,353,0,2,14643,2476,21,193,8,71,80,108,4,7,0,561079,104,570884,97,20221008,190,19,9,462,1,23,162,Blå blok
Enhedslisten,13430,11702,1329,399,186,1577,698,2275,305,0,0,10023,1251,18,196,103,46,65,103,2,5,1,517212,122,532696,42,20221008,130,13,4,789,0,12,114,Rød blok
Frie Grønne,3208,2500,513,195,10,18190,6016,24206,58,0,0,2139,266,3,53,8,25,6,7,3,1,0,32642,52,35533,53,20221008,458,73,28,6063,4,38,357,Rød blok
Konservative,27386,23991,2782,613,505,109637,1937,111574,231,24,10,21203,2119,29,315,22,103,200,200,19,11,0,634556,263,669032,236,20221008,137,14,3,5770,1,11,120,Blå blok
Kristendemokraterne,953,814,103,36,41,824,189,1013,57,0,0,693,22,4,90,0,0,5,27,1,2,0,64500,79,68001,83,20221008,35,4,1,824,0,1,30,Blå blok
Liberal Alliance,36515,32523,2398,1594,216,593991,36470,630461,2704,0,3,26912,1317,43,4007,68,110,66,97,5,12,1,393677,839,423577,837,20221008,376,25,16,118798,1,14,335,Blå blok
Løsgænger,19,10,9,0,4,0,0,0,0,0,0,9,0,0,1,0,0,0,1,0,0,0,112509,-11,140739,-21,20221008,19,9,0,0,0,0,10,Andet
Moderaterne,7277,6466,703,108,40,30962,7047,38009,988,29,2,6207,181,5,37,1,17,18,41,7,3,0,231739,162,233717,156,20221008,177,17,3,4423,0,4,158,Blå blok
Nye Borgerlige,22371,19508,2041,822,138,9138,1367,10505,134,0,1,18472,649,23,211,18,90,45,93,4,6,0,627895,149,732108,152,20221008,241,22,9,2285,1,7,210,Blå blok
Radikale Venstre,6697,5901,665,131,255,786,400,1186,3,0,4,5128,488,12,49,94,36,94,107,6,1,0,642245,97,668187,70,20221008,63,6,1,131,0,5,55,Rød blok
Socialdemokratiet,74311,64867,8071,1373,577,28956,3885,32841,553,11,3,56984,4463,125,2591,25,247,432,293,14,12,1,1616100,645,1730191,558,20221008,254,28,5,2068,1,15,221,Rød blok
Socialistisk Folkeparti,44513,38837,4890,786,346,21734,931,22665,24,0,6,28031,3252,79,7038,19,156,262,166,14,4,0,693245,354,712633,293,20221008,268,29,5,1552,1,20,234,Rød blok
Venstre,29894,26128,3077,689,617,39670,4192,43862,681,158,5,24462,556,42,702,39,255,72,246,15,10,0,942620,311,987943,254,20221008,122,13,3,2645,1,2,106,Blå blok
Alternativet,4669,3786,675,208,164,812,1553,2365,96,0,1,3009,429,34,237,26,31,20,68,2,3,0,256033,56,261924,49,20221009,69,10,3,406,0,6,56,Rød blok
Andet,1499,1089,291,119,115,35681,1068,36749,51,3591,2,879,123,4,58,0,19,6,22,3,1,0,195609,11,205383,-8,20221009,68,13,5,11894,1,6,50,Andet
Danmarksdemokraterne,20424,13228,5045,2151,34,67915,2620,70535,264,15559,3,9635,633,67,2578,25,251,39,60,7,2,0,300255,534,318466,449,20221009,340,84,36,9702,4,11,220,Blå blok
Dansk Folkeparti,19844,15579,2641,1624,157,157741,22128,179869,370,3831,2,13624,1416,41,239,35,81,143,76,7,15,0,561394,315,571073,189,20221009,261,35,21,22534,1,19,205,Blå blok
Enhedslisten,7419,6219,818,382,186,1796,670,2466,189,0,0,5510,571,11,62,20,15,30,89,4,7,1,517451,239,532915,219,20221009,83,9,4,449,0,6,70,Rød blok
Frie Grønne,3208,2438,542,228,10,8881,1917,10798,44,0,1,2111,175,6,100,6,27,13,9,3,1,0,32691,49,35586,53,20221009,356,60,25,2960,3,19,271,Rød blok
Konservative,17570,13895,3075,600,505,139905,7518,147423,321,68,8,12349,919,45,312,44,117,109,149,17,9,0,635032,476,669419,387,20221009,118,21,4,8230,1,6,93,Blå blok
Kristendemokraterne,1885,1611,204,70,41,2129,1361,3490,52,0,21,1557,32,3,15,1,2,1,34,13,4,0,64578,78,68074,73,20221009,55,6,2,164,0,1,47,Blå blok
Liberal Alliance,24158,20534,2074,1550,216,40016,2379,42395,255,0,0,19425,527,54,435,36,37,20,99,5,11,0,394571,894,424456,879,20221009,244,21,16,8003,0,5,207,Blå blok
Løsgænger,1271,1002,240,29,4,0,0,0,0,0,0,912,78,6,4,0,0,2,2,0,0,0,112511,2,140722,-17,20221009,636,120,15,0,0,39,501,Andet
Moderaterne,3197,2748,359,90,40,19444,825,20269,0,209,2,2621,75,2,23,1,18,8,34,9,0,0,232039,300,234002,285,20221009,94,11,3,2160,1,2,81,Blå blok
