Sidenavn;Codename;URL;Total Interactions;Likes;Comments;Shares;Owned Post Views;Owned Views from Shares;Owned Total Views;Percentage Views from Owned Posts;Views on Shared Posts;Views While Live;Video Time;3-Min+ Videos;Loves;Wows;Hahas;Sads;Angrys;Cares;All Reactions;All Interaction Rate;Total Posts;Posts Per Day;Page Likes;Page Growth;Page Growth %;Page Followers;Page Follower Growth;Page Follower Growth %;Parti;Link;Politiker eller Partiside;Køn;Profil eller side;Kategori;Partileder;FTV kandidat;Month;Måned;Totale interaktioner per post;Kommentarer per post;Delinger per post;Videovisninger per videoopslag;Angry per post;Love per post;Reaktioner per post;Blok
Benny Engelbrecht;BennyEngelbrecht;https://www.facebook.com/270431402967189;6973;5259;780;186;1680;40;1720;98%;0;330;0;0;302;9;14;29;102;292;6007;2,91%;17;1;14075;-11;-0,08%;14167;-15;-0,11%;Socialdemokratiet;https://www,facebook,com/270431402967189;Politiker;Mand;Side;MF'ere;;;20220315;202203;410;46;11;1680;6;18;353;Rød blok
Jesper Petersen;MFJesper;https://www.facebook.com/287814831337164;5774;4912;432;83;0;0;0;0%;0;0;0;0;245;10;8;8;5;71;5259;5,03%;12;0;9583;46;0%;9828;47;0%;Socialdemokratiet;https://www,facebook,com/287814831337164;Politiker;Mand;Side;MF'ere;;;20220315;202203;481;36;7;0;0;20;438;Rød blok
Camilla Fabricius;CamFabricius;https://www.facebook.com/315126268991751;1582;925;408;66;399;131;530;75%;0;0;1;0;140;1;0;4;0;38;1108;3,33%;11;0;4306;26;1%;4614;29;0,63%;Socialdemokratiet;https://www,facebook,com/315126268991751;Politiker;Kvinde;Side;MF'ere;;;20220315;202203;144;37;6;200;0;13;101;Rød blok
Rasmus Prehn;rasmus.prehn;https://www.facebook.com/325793724279369;13896;7549;4432;403;4055;3298;7353;55%;3411;0;2;0;252;36;577;43;395;209;9061;2,33%;50;2;11941;96;1%;12461;93;1%;Socialdemokratiet;https://www,facebook,com/325793724279369;Politiker;Mand;Side;MF'ere;;;20220315;202203;278;89;8;4055;8;5;181;Rød blok
Marianne Vind;MarianneVindEP;https://www.facebook.com/329236874385098;4551;3605;364;254;3423;2296;5719;60,00%;0;0;3;0;211;6;3;6;14;88;3933;4,59%;12;0;8282;64;0,78%;8706;186;2,18%;Socialdemokratiet;https://www,facebook,com/329236874385098;Politiker;Kvinde;Side;MEP'ere;;;20220315;202203;379;30;21;1141;1;18;328;Rød blok
Jeppe Bruus;jeppe.bruus;https://www.facebook.com/340189926157676;3163;2602;251;100;0;0;0;0%;0;0;0;0;109;4;8;4;14;71;2812;5,38%;11;0;5362;46;1%;5612;56;1%;Socialdemokratiet;https://www,facebook,com/340189926157676;Politiker;Mand;Side;MF'ere;;;20220315;202203;288;23;9;0;1;10;256;Rød blok
Birgitte Vind;birgitte.vind.1;https://www.facebook.com/346547929246195;3887;2732;516;133;71;4;75;95%;0;0;0;0;227;5;40;26;16;192;3238;5%;29;1;2931;39;1,35%;3147;39;1%;Socialdemokratiet;https://www,facebook,com/346547929246195;Politiker;Kvinde;Side;MF'ere;;;20220315;202203;134;18;5;71;1;8;112;Rød blok
Magnus Heunicke;heunicke;https://www.facebook.com/354144841359670;13629;9180;2270;166;4151;228;4379;95%;0;0;0;0;742;14;96;7;76;1078;11193;4,27%;8;0;39836;-5;-0,01%;47103;-37;-0,08%;Socialdemokratiet;https://www,facebook,com/354144841359670;Politiker;Mand;Side;MF'ere;;;20220315;202203;1704;284;21;4151;10;93;1399;Rød blok
Christel Schaldemose;ChristelSchaldemose;https://www.facebook.com/424159230945271;3106;2269;218;390;1257;1720;2977;42%;0;0;1;0;137;4;14;15;27;32;2498;1,71%;14;0;12948;11;0,09%;12954;10;0,08%;Socialdemokratiet;https://www,facebook,com/424159230945271;Politiker;Kvinde;Side;MEP'ere;;;20220315;202203;222;16;28;1257;2;10;178;Rød blok
Trine Bramsen;TrineBramsen;https://www.facebook.com/515338715236513;9765;6645;2174;95;0;0;0;0%;0;0;0;0;645;11;22;3;26;144;7496;4,59%;15;1;14176;4;0%;15145;-16;0%;Socialdemokratiet;https://www,facebook,com/515338715236513;Politiker;Kvinde;Side;MF'ere;;;20220315;202203;651;145;6;0;2;43;500;Rød blok
Peter Hummelgaard;phummelgaard;https://www.facebook.com/526620377500921;20849;12276;5187;764;0;0;0;0%;0;0;0;0;579;33;989;85;668;268;14898;5,02%;17;1;24518;177;1%;26789;234;1%;Socialdemokratiet;https://www,facebook,com/526620377500921;Politiker;Mand;Side;MF'ere;;;20220315;202203;1226;305;45;0;39;34;876;Rød blok
Malte Larsen;StemMalteLarsen;https://www.facebook.com/737317713017734;1914;1267;281;16;0;0;0;0%;0;0;0;0;61;3;2;0;2;282;1617;5,88%;18;1;1819;30;2%;1914;36;1,92%;Socialdemokratiet;https://www,facebook,com/737317713017734;Politiker;Mand;Side;MF'ere;;;20220315;202203;106;16;1;0;0;3;90;Rød blok
Annette Lind;MFannettelind;https://www.facebook.com/879906758810052;2852;2423;250;24;0;0;0;0%;0;0;0;0;63;4;9;3;3;73;2578;3,13%;15;1;6084;13;0,21%;6233;16;0,26%;Socialdemokratiet;https://www,facebook,com/879906758810052;Politiker;Kvinde;Side;MF'ere;;;20220315;202203;190;17;2;0;0;4;172;Rød blok
Rasmus Horn Langhoff;rasmuslanghoff.dk;https://www.facebook.com/1085388398186784;1350;1173;64;32;0;0;0;0%;0;0;0;0;46;0;2;0;8;25;1254;1,66%;15;1;5421;15;0%;5496;14;0%;Socialdemokratiet;https://www,facebook,com/1085388398186784;Politiker;Mand;Side;MF'ere;;;20220315;202203;90;4;2;0;1;3;84;Rød blok
Christian Rabjerg Madsen;christian.rabjerg;https://www.facebook.com/1396459723941912;2492;1570;714;44;934;60;994;94,00%;0;37;0;0;42;2;85;1;12;22;1734;3,51%;17;1;4160;6;0,14%;4206;7;0,17%;Socialdemokratiet;https://www,facebook,com/1396459723941912;Politiker;Mand;Side;MF'ere;;;20220315;202203;147;42;3;467;1;2;102;Rød blok
Anders Kronborg;kronborg.esbjerg;https://www.facebook.com/1396986243876509;1516;1224;211;44;0;0;0;0%;0;0;0;0;18;2;2;0;1;14;1261;3,11%;19;1;2542;2;0%;2626;5;0,19%;Socialdemokratiet;https://www,facebook,com/1396986243876509;Politiker;Mand;Side;MF'ere;;;20220315;202203;80;11;2;0;0;1;66;Rød blok
Anne Paulin;AnnePaulin2;https://www.facebook.com/1418511451758028;2069;1590;259;34;1052;3;1055;100%;0;0;0;0;95;2;8;1;3;77;1776;3,91%;17;1;3112;30;0,97%;3228;32;1%;Socialdemokratiet;https://www,facebook,com/1418511451758028;Politiker;Kvinde;Side;MF'ere;;;20220315;202203;122;15;2;1052;0;6;104;Rød blok
Nicolai Wammen;nicolaiwammen;https://www.facebook.com/1458354184437993;15582;11887;2221;272;4728;170;4898;97%;0;0;1;0;327;5;36;18;32;784;13089;4,21%;16;1;23140;8;0,03%;23872;-8;-0,03%;Socialdemokratiet;https://www,facebook,com/1458354184437993;Politiker;Mand;Side;MF'ere;;;20220315;202203;974;139;17;4728;2;20;818;Rød blok
Kasper Roug;Roug.Kasper;https://www.facebook.com/1461584187395053;355;266;41;20;397;50;447;89%;50;0;1;0;4;2;2;0;14;6;294;1,21%;19;1;1484;4;0,27%;1495;4;0,27%;Socialdemokratiet;https://www,facebook,com/1461584187395053;Politiker;Mand;Side;MF'ere;;;20220315;202203;19;2;1;199;1;0;15;Rød blok
Daniel Toft Jakobsen;danieltoftjakobsen;https://www.facebook.com/1533981276841327;166;155;9;1;0;0;0;0%;0;0;0;0;1;0;0;0;0;0;156;4,66%;2;0;1784;3;0,17%;1849;4;0,22%;Socialdemokratiet;https://www,facebook,com/1533981276841327;Politiker;Mand;Side;MF'ere;;;20220315;202203;83;5;1;0;0;1;78;Rød blok
Lea Wermelin;;https://www.facebook.com/1563091823994393;9286;5088;2477;252;3108;1663;4771;65%;0;0;0;0;766;14;33;99;404;153;6557;8,58%;14;0;7767;73;1%;8729;61;0,70%;Socialdemokratiet;https://www,facebook,com/1563091823994393;Politiker;Kvinde;Side;MF'ere;;;20220315;202203;663;177;18;3108;29;55;468;Rød blok
Rasmus Stoklund;rasmusstoklund;https://www.facebook.com/1675976205990131;26971;14766;8843;1111;12257;9624;21881;56%;0;483;2;0;773;34;690;176;149;429;17017;6,62%;35;1;11719;167;1,45%;12571;194;1,57%;Socialdemokratiet;https://www,facebook,com/1675976205990131;Politiker;Mand;Side;MF'ere;;;20220315;202203;771;253;32;4086;4;22;486;Rød blok
Lars Aslan Rasmussen;LarsAslanRasmussen;https://www.facebook.com/1826032357445650;14596;10562;1542;1055;0;0;0;0%;0;0;0;0;752;109;35;102;188;251;11999;13,83%;9;0;11745;43;0,37%;18070;-5;-0,03%;Socialdemokratiet;https://www,facebook,com/1826032357445650;Politiker;Mand;Side;MF'ere;;;20220315;202203;1622;171;117;0;21;84;1333;Rød blok
Julie Skovsby;JulieSkovsbyMF;https://www.facebook.com/2134077580000490;326;264;30;4;0;0;0;0%;0;0;0;0;23;0;0;0;0;5;292;1,51%;6;0;3564;-2;-0,06%;4105;-4;-0,10%;Socialdemokratiet;https://www,facebook,com/2134077580000490;Politiker;Kvinde;Side;MF'ere;;;20220315;202203;54;5;1;0;0;4;49;Rød blok
