Page ID,Page Name,Disclaimer,Parti,Link,Politiker eller Partiside,Køn,Profil eller side,Kategori,Partileder,FTV kandidat
1162527537211675,"Lise Munk, KV17 kandidat Alternativet Langeland","Lise Munk, KV17 kandidat Alternativet Langeland",Alternativet,https://www.facebook.com/1162527537211675,Politiker,Kvinde,Side,,,
1282877291801616,Alternativet Ballerup,,Alternativet,https://www.facebook.com/1282877291801616,Partiside,Partiside,Side,,,
1321022541244749,Alternativet Rebild,,Alternativet,https://www.facebook.com/1321022541244749,Partiside,Partiside,Side,,,
1340779142701301,Alternativet Syddjurs,Alternativet Syddjurs,Alternativet,https://www.facebook.com/1340779142701301,Partiside,Partiside,Side,,,
1351848144868401,Tine Russotti fra Alternativet,Tine Russotti fra Alternativet,Alternativet,https://www.facebook.com/1351848144868401,Politiker,Kvinde,Side,,,
1367833749910525,Alternativet - Lokalforeningen Langeland,,Alternativet,https://www.facebook.com/1367833749910525,Partiside,Partiside,Side,,,
1557494844503698,Bina Seff - Alternativet,Bina Seff - Alternativet,Alternativet,https://www.facebook.com/1557494844503698,Politiker,Kvinde,Side,,,
1567758473495398,Lars Pallesen,Lars Pallesen,Alternativet,https://www.facebook.com/1567758473495398,Politiker,Mand,Side,,,
1578858915755123,Alternativet Høje Taastrup,,Alternativet,https://www.facebook.com/1578858915755123,Partiside,Partiside,Side,,,
1582384178699111,Alternativet Viborg,Alternativet Viborg,Alternativet,https://www.facebook.com/1582384178699111,Partiside,Partiside,Side,,,
1681890348779085,Alternativet Tønder kommune,,Alternativet,https://www.facebook.com/1681890348779085,Partiside,Partiside,Side,,,
1688217074803681,Alternativet Rødovre,,Alternativet,https://www.facebook.com/1688217074803681,Partiside,Partiside,Side,,,
1696396953920657,Lynge Korsgaard - Alternativet,Lynge Korsgaard - Alternativet,Alternativet,https://www.facebook.com/1696396953920657,Politiker,Mand,Side,,,
1702345189990994,Josephine Fock,Josephine Fock,Alternativet,https://www.facebook.com/1702345189990994,Politiker,Kvinde,Side,,,
1705562516398511,Alternativet Tårnby,,Alternativet,https://www.facebook.com/1705562516398511,Partiside,Partiside,Side,,,
1707494719472793,Alternativet i Hjørring Kommune,,Alternativet,https://www.facebook.com/1707494719472793,Partiside,Partiside,Side,,,
1711091055784143,Tina Kjær,Tina Kjær,Alternativet,https://www.facebook.com/1711091055784143,Politiker,Kvinde,Side,,,
1716862828561794,Alternativet Randers,,Alternativet,https://www.facebook.com/1716862828561794,Partiside,Partiside,Side,,,
1719920934923041,Alternativet Næstved,,Alternativet,https://www.facebook.com/1719920934923041,Partiside,Partiside,Side,,,
1724557521187895,Søren Have - Alternativet,Søren Have - Alternativet,Alternativet,https://www.facebook.com/1724557521187895,Politiker,Mand,Side,,,
1727941290792817,Alternativet Vordingborg,,Alternativet,https://www.facebook.com/1727941290792817,Partiside,Partiside,Side,,,
1813258995617882,Birgitte Kehler Holst Alternativet,Birgitte Kehler Holst Alternativet,Alternativet,https://www.facebook.com/1813258995617882,Politiker,Kvinde,Side,,,FTV kandidat
1820326061588497,Jan Friis - Alternativet,Jan Friis - Alternativet,Alternativet,https://www.facebook.com/1820326061588497,Politiker,Mand,Side,,,
1852173895046648,Nicky Petersen - Alternativet Ringsted,Nicky Petersen - Alternativet Ringsted,Alternativet,https://www.facebook.com/1852173895046648,Politiker,Mand,Side,,,
1858678244396686,"Theresa Dall Helth, Alternativet","Theresa Dall Helth, Alternativet",Alternativet,https://www.facebook.com/1858678244396686,Politiker,Kvinde,Side,,,
1914964188825758,"Michael Bested Kristensen, Alternativet Alterne","Michael Bested Kristensen, Alternativet Alterne",Alternativet,https://www.facebook.com/1914964188825758,Politiker,Mand,Side,,,
1930441847193424,"Kenneth Degnbol, Alternativet i Syddjurs","Kenneth Degnbol, Alternativet i Syddjurs",Alternativet,https://www.facebook.com/1930441847193424,Politiker,Mand,Side,,,
1941275129427243,Mette Bram - Alternativet,Mette Bram - Alternativet,Alternativet,https://www.facebook.com/1941275129427243,Politiker,Kvinde,Side,,,FTV kandidat
1968416690096631,Mette Foged - byrådsmedlem for Alternativet i Syddjurs fra 2018,Mette Foged - byrådsmedlem for Alternativet i Syddjurs fra 2018,Alternativet,https://www.facebook.com/1968416690096631,Politiker,Kvinde,Side,,,
2039714252926236,Jacob Holm - Alternativet,Jacob Holm - Alternativet,Alternativet,https://www.facebook.com/2039714252926236,Politiker,Mand,Side,,,
101072611945782,Astrid Recinella - nytgribskov,Astrid Franklin Recinella,Andet,https://www.facebook.com/101072611945782,Politiker,Kvinde,Side,,,
104230385231299,Janni Olsen -Nytgribskov,Janni Simone Bøgh,Andet,https://www.facebook.com/104230385231299,Politiker,Kvinde,Side,,,
127562727868012,Pernille Kromann Sams - nytgribskov,Pernille Kromann Sams,Andet,https://www.facebook.com/127562727868012,Politiker,Kvinde,Side,,,
261742681009514,Pernille Søndergaard - NytGribskov,Pernille Søndergaard,Andet,https://www.facebook.com/261742681009514,Politiker,Kvinde,Side,,,
106413654929339,Ina Lindemark - Kandidat for VoresSolrød til KV21,Ina Lindemark,Andet,https://www.facebook.com/106413654929339,Politiker,Kvinde,Side,,,
103811742009908,Anna Janssen Golieva - Byrådskandidat Aarhus,Anna Golieva,Andet,https://www.facebook.com/103811742009908,Politiker,Kvinde,Side,,,
147223497473004,Coco Kjærgaard - kandidat til byrådsvalget i Billund Kommune,Coco Mette Cecilie Kjærgaard,Andet,https://www.facebook.com/147223497473004,Politiker,Kvinde,Side,,,
625917947594139,Lise Tønner - Lokallisten Gladsaxe,Lise Tønner,Andet,https://www.facebook.com/625917947594139,Politiker,Kvinde,Side,,,
197119070474185,Annelise Madsen,Annelise Madsen,Andet,https://www.facebook.com/197119070474185,Politiker,Kvinde,Side,,,
111374827309030,Karina Vincentz - Nyt Odsherred,Karina Vincentz,Andet,https://www.facebook.com/111374827309030,Politiker,Kvinde,Side,,,
105771761848341,Käthe Nissen,Slesvigsk Parti,Andet,https://www.facebook.com/105771761848341,Politiker,Kvinde,Side,,,
112394117880547,Katharina Kley - ungdommens repræsentant i Aabenraa byråd,Slesvigsk Parti,Andet,https://www.facebook.com/112394117880547,Politiker,Kvinde,Side,,,
142045491345455,Randi Damstedt - Byrådskandidat for SP i Tønder,Slesvigsk Parti,Andet,https://www.facebook.com/142045491345455,Politiker,Kvinde,Side,,,
