Page ID,Page Name,Parti,Link,Politiker eller Partiside,Køn,Profil eller side,Kategori,Partileder
1554525611484429,Mads Fuglede,Venstre,https://www.facebook.com/1554525611484429,Politiker,Mand,Side,MF'ere,
1049258185160006,Maja Torp,Venstre,https://www.facebook.com/1049258185160006,Politiker,Kvinde,Side,MF'ere,
242091299473046,Marie Bjerre,Venstre,https://www.facebook.com/242091299473046,Politiker,Kvinde,Side,MF'ere,
759821337497406,Marlene Ambo-Rasmussen,Venstre,https://www.facebook.com/759821337497406,Politiker,Kvinde,Side,MF'ere,
687073988036611,Martin Geertsen,Venstre,https://www.facebook.com/687073988036611,Politiker,Mand,Side,MF'ere,
100190170314199,MF Jane Heitmann,Venstre,https://www.facebook.com/100190170314199,Politiker,Kvinde,Side,MF'ere,
389665107805619,Michael Aastrup Jensen,Venstre,https://www.facebook.com/389665107805619,Politiker,Mand,Side,MF'ere,
577345799101307,Morten Dahlin,Venstre,https://www.facebook.com/577345799101307,Politiker,Mand,Side,MF'ere,
579280942092820,Preben Bang Henriksen,Venstre,https://www.facebook.com/579280942092820,Politiker,Mand,Side,MF'ere,
699619700116377,Sophie Løhde,Venstre,https://www.facebook.com/699619700116377,Politiker,Kvinde,Side,MF'ere,
449803521791656,Stén Knuth,Venstre,https://www.facebook.com/449803521791656,Politiker,Mand,Side,MF'ere,
368634453338332,Thomas Danielsen,Venstre,https://www.facebook.com/368634453338332,Politiker,Mand,Side,MF'ere,
2121857298076689,Tommy Ahlers,Venstre,https://www.facebook.com/2121857298076689,Politiker,Mand,Side,MF'ere,
1378861979080037,Torsten Schack Pedersen,Venstre,https://www.facebook.com/1378861979080037,Politiker,Mand,Side,MF'ere,
139443622778678,Troels Lund Poulsen,Venstre,https://www.facebook.com/139443622778678,Politiker,Mand,Side,MF'ere,
1442400742660069,Ulla Tørnæs,Venstre,https://www.facebook.com/1442400742660069,Politiker,Kvinde,Side,MF'ere,
