ID,Side navn,Disclaimer,Brugt i alt,Annoncer i bibliotek,Parti,Partiside eller politiker,Blok,Køn,Profil eller side,Kategori,Partileder,FTV kandidat
483189488543763,Enhedslisten Kolding,Ivan Balleby,4442,12,Enhedslisten,Partiside,Rød blok,Partiside,Side,,,
529073117142827,Enhedslisten FuresØ,Vallentine Helle,300,1,Enhedslisten,Partiside,Rød blok,Partiside,Side,,,
529877860387822,Maria Temponeras,Hanne Maria Temponeras,2601,20,Enhedslisten,Politiker,Rød blok,Kvinde,Side,,,FTV kandidat
634536693240366,Enhedslisten Brøndby,Andersen Steen,480,1,Enhedslisten,Partiside,Rød blok,Partiside,Side,,,
640631499337955,Enhedslisten Nordjylland,Ostergaard Rasmus Falck,999,1,Enhedslisten,Partiside,Rød blok,Partiside,Side,,,
644720655573155,Enhedslisten Syddjurs,These ads ran without a disclaimer,155,1,Enhedslisten,Partiside,Rød blok,Partiside,Side,,,
810791178995871,Anne Hegelund,Enhedslisten Århus,9866,6,Enhedslisten,Politiker,Rød blok,Kvinde,Side,,,FTV kandidat
947582238609972,Søren Egge Rasmussen,Enhedslisten,533,4,Enhedslisten,Politiker,Rød blok,Mand,Side,MF'ere,,FTV kandidat
1122941634384463,Pelle Dragsted,Enhedslisten Frederiksberg,13185,20,Enhedslisten,Politiker,Rød blok,Mand,Side,,,FTV kandidat
1439131106299682,Enhedslisten Tårnby/Dragør,Hendriksen Jan,968,4,Enhedslisten,Partiside,Rød blok,Partiside,Side,,,
1484923544925064,Enhedslisten Sjælland,Janus Balleby Rønbach,9453,10,Enhedslisten,Partiside,Rød blok,Partiside,Side,,,
1518977018364329,Enhedslisten Vordingborg,Martin Graff Jørgensen,1947,3,Enhedslisten,Partiside,Rød blok,Partiside,Side,,,
1772088679517504,Enhedslisten Stine Rahbek,Enhedslisten i Ballerup,253,3,Enhedslisten,Politiker,Rød blok,Kvinde,Side,,,FTV kandidat
1911392715804524,Lisbeth Torfing - Enhedslisten,Lisbeth Torfing,10244,6,Enhedslisten,Politiker,Rød blok,Kvinde,Side,,,FTV kandidat
1988396728052020,Enhedslisten Roskilde,Skovrind Åge Martin,4000,3,Enhedslisten,Partiside,Rød blok,Partiside,Side,,,
