Page ID,Page name,Disclaimer,Parti,Amount spent (DKK),Number of ads in Library,Politiker eller Partiside,Køn,Profil eller side,Kategori,Partileder,FTV kandidat,Day,Blok
1492391310793372,Ken Kristensen,Kristensen Ken,Venstre,316,2,Politiker,Mand,Side,,,FTV kandidat,20221001,Blå blok
1719764131664489,Anne Honoré Østergaard,Anne Honoré Østergaard,Venstre,130,8,Politiker,Kvinde,Side,MF'ere,,FTV kandidat,20221001,Blå blok
1956719637909855,Kristian Pihl Lorentzen,Lorentzen Kristian Pihl,Venstre,1620,52,Politiker,Mand,Side,MF'ere,,FTV kandidat,20221001,Blå blok
2252326791657399,Casper Pedersen,Pedersen Casper,Venstre,133,1,Politiker,Mand,Side,,,FTV kandidat,20221001,Blå blok
104794374469979,Simon Nyborg Jensen,Simon Nyborg Jensen,Alternativet,101,1,Politiker,Mand,Side,,,,20221002,Rød blok
111562544999934,Michael Monberg - Alternativet,Alternativet,Alternativet,275,7,Politiker,Mand,Side,,,FTV kandidat,20221002,Rød blok
676061179094769,Alternativet,Alternativet,Alternativet,1913,4,Partiside,Partiside,Side,Nationalt parti,,,20221002,Rød blok
845591568834321,"Franciska Rosenkilde, Alternativet",Allan Hansen Lindemark,Alternativet,406,1,Politiker,Kvinde,Side,,Partileder,FTV kandidat,20221002,Rød blok
106908955486176,"Ulrik Knudsen - Folketingskandidat Østjylland, Danmarksdemokraterne",Casper Theilgaard,Danmarksdemokraterne,151,1,Politiker,Mand,Side,,,FTV kandidat,20221002,Blå blok
210317432480139,Charlotte Munch - Politiker,Munch Charlotte,Danmarksdemokraterne,132,1,Politiker,Kvinde,Side,,,FTV kandidat,20221002,Blå blok
437813842938863,Sebastian Mylsted-Schenstrøm - Danmarksdemokraterne,Mylsted-Schenstrøm Sebastian,Danmarksdemokraterne,120,5,Politiker,Mand,Side,,,FTV kandidat,20221002,Blå blok
443490725722399,"Lars Ole Skovgaard Larsen, Folketingskandidat for Danmarksdemokraterne",Victor Paarup Jensen,Danmarksdemokraterne,106,4,Politiker,Mand,Side,,,,20221002,Blå blok
33510214383,Pia Kjærsgaard,Dansk Folkeparti,Dansk Folkeparti,1819,9,Politiker,Kvinde,Side,MF'ere,,FTV kandidat,20221002,Blå blok
100289749292553,Majbritt Birkholm Dansk Folkeparti,Dansk Folkeparti,Dansk Folkeparti,159,1,Politiker,Kvinde,Side,,,FTV kandidat,20221002,Blå blok
111786634296387,Nana Harring - Dansk Folkeparti,Dansk Folkeparti,Dansk Folkeparti,163,8,Politiker,Kvinde,Side,,,FTV kandidat,20221002,Blå blok
183312979158588,René Christensen - Dansk Folkeparti,Dansk Folkeparti,Dansk Folkeparti,548,6,Politiker,Mand,Side,MF'ere,,FTV kandidat,20221002,Blå blok
520449347983427,Dansk Folkeparti,Dansk Folkeparti,Dansk Folkeparti,3044,27,Partiside,Partiside,Side,Nationalt parti,,,20221002,Blå blok
529222380457868,Simon Hampe - Dansk Folkeparti,Simon Hampe Sørensen,Dansk Folkeparti,157,3,Politiker,Mand,Side,,,FTV kandidat,20221002,Blå blok
418179784893842,Enhedslisten Hillerød,Rasmussen Karl-Erik,Enhedslisten,164,2,Partiside,Partiside,Side,,,,20221002,Rød blok
39233495912,Det Konservative Folkeparti,Det Konservative Folkeparti,Konservative,486,5,Partiside,Partiside,Side,Nationalt parti,,,20221002,Blå blok
105452445239833,Ole Gade i Folketinget,Ole Gade,Konservative,283,35,Politiker,Mand,Side,,,FTV kandidat,20221002,Blå blok
103043358684459,Mikkel Højsleth - Folketingskandidat,Mikkel Højsleth,Konservative,602,1,Politiker,Mand,Side,,,,20221002,Blå blok
104754988834397,Jakob Axel Nielsen,Det Konservative Folkeparti i Aalborg,Konservative,165,5,Politiker,Mand,Side,,,FTV kandidat,20221002,Blå blok
104855648907404,Klaus Nyengaard,Klaus Randel Nyengaard,Konservative,1585,8,Politiker,Mand,Side,,,FTV kandidat,20221002,Blå blok
105529997937913,"Helle Laursen Petersen, Politiker",Helle Laursen Petersen,Konservative,494,10,Politiker,Kvinde,Side,,,FTV kandidat,20221002,Blå blok
106678798277080,Lotte Friis Böing,Lotte Simone Emilie Friis Böing,Konservative,1062,8,Politiker,Kvinde,Side,,,,20221002,Blå blok
107692821813540,Michael Norup -  Konservativ Folketingskandidat,Michael Norup,Konservative,460,11,Politiker,Mand,Side,,,,20221002,Blå blok
108411634385852,Heidi Printzen,Aarhus Konservative Vælgerforening,Konservative,400,9,Politiker,Kvinde,Side,,,,20221002,Blå blok
